author	identity	work_count	record_count	languages	total_holdings	author_id	source	duplicated
Matthew L. Wallace	Wallace, Matthew L.	1	2	1	3	np-wallace,%20matthew%20l	API	FALSE
Maria Victoria Guzman Sánchez	Guzmán Sánchez, María Victoria	11	14	1	88	np-guzman%20sanchez,%20maria%20victoria	Web	TRUE
Maria Victoria Guzman Sánchez	Guzman Sanchez, Maria V.	2	2	1	2	np-guzman%20sanchez,%20maria%20v	Web	TRUE
Pero Šipka	Šipka, Pero	4	4	3	6	viaf-305796032	API	FALSE
Robert D. Shelton	Shelton, R. D.	12	21	1	217	lccn-n85353927	Web	TRUE
Robert D. Shelton	Shelton, Robert Duane	2	2	1	2	np-shelton,%20robert%20duane	Web	TRUE
Robert D. Shelton	Shelton, Robert Duane, 1938- 	1	1	0	1	np-shelton,%20robert%20duane%201938	Web	TRUE
Carlos Benito Amat	Amat, Carlos Benito	1	2	1	29	np-amat,%20carlos%20benito	API	FALSE
Xiaozhong Liu	Liu, Xiaozhong	27	32	2	67	np-liu,%20xiaozhong	API	FALSE
Enrique Orduna-Malea	Orduña-Malea, Enrique	11	44	2	458	lccn-ns2016004028	API	FALSE
Tindaro Cicero	NA	NA	NA	NA	NA	NA	NA	NA
Tim Engels	Engels, Tim C. E.	5	5	1	6	np-engels,%20tim%20c%20e	Web	FALSE
Balabhim Biradar	NA	NA	NA	NA	NA	NA	NA	NA
Zohreh Zahedi	Zahedi, Zohreh	5	5	2	5	viaf-309887466	API	FALSE
Björn Hammarfelt	Hammarfelt, Björn 1980-	15	18	2	19	viaf-252513028	API	FALSE
Marcia Regina da Silva	Silva, Márcia Regina da	7	8	2	13	lccn-no2018018242	API	FALSE
Dean Hendrix	NA	NA	NA	NA	NA	NA	NA	NA
G. Galyani	Galyani-Moghaddam, Golnessa	1	1	1	1	viaf-305737398	Web	FALSE
Marianne Gauffriau	Gauffriau, Marianne	1	2	1	4	np-gauffriau,%20marianne	API	FALSE
Gonzalo Ordonez-Matamoros	Ordóñez-Matamoros, Gonzalo	8	18	2	88	lccn-no2016155516	API	TRUE
Gonzalo Ordonez-Matamoros	Ordóñez-Matamoros, Gonzalo - Autor/a	1	1	1	1	np-ordonez%20matamoros,%20gonzalo%20autor%20a	Web	TRUE
Gonzalo Ordonez-Matamoros	Ordóñes-Matamoros, Gonzalo	1	1	1	2	np-ordones%20matamoros,%20gonzalo	Web	TRUE
Bhaskar Mukherjee	Mukherjee, Bhaskar	10	46	2	803	lccn-no2010199088	API	TRUE
Bhaskar Mukherjee	Mukherjee, Mohammad Nazim. Bhaskar	1	1	0	4	np-mukherjee,%20mohammad%20nazim%20bhaskar	Web	TRUE
Bhaskar Mukherjee	Mukherjee, Dr Bhaskar	1	1	1	3	np-mukherjee,%20dr%20bhaskar	Web	TRUE
SL Sangam	Sangam, S. L.	3	5	1	27	lccn-n88161367	Web	TRUE
SL Sangam	Saṅgama, S. L.	1	1	1	0	viaf-606152636174120052975	Web	TRUE
Kannappanavar B U	NA	NA	NA	NA	NA	NA	NA	NA
Elizabeth S Vieira	NA	NA	NA	NA	NA	NA	NA	NA
Guo Freeman (Zhang)	Freeman, Guo	2	11	1	106	lccn-no2016071435	Web	FALSE
Rosario Rogel	Rogel Salazar, Rosario	11	21	1	110	lccn-no2006067935	API	TRUE
Rosario Rogel	Rogel Salazar, Rosario - Autor/a	4	5	1	5	np-rogel%20salazar,%20rosario%20autor%20a	Web	TRUE
Jens Terliesner	Terliesner, Jens	1	1	1	0	np-terliesner,%20jens	API	FALSE
Christian Gumpenberger	Gumpenberger, Christian	4	6	2	10	np-gumpenberger,%20christian	API	TRUE
Christian Gumpenberger	Gampenrieder, Christian	1	2	1	2	np-gampenrieder,%20christian	Web	TRUE
Francisco Collazo	Collazo Reyes, Francisco	8	8	1	8	np-collazo%20reyes,%20francisco	Web	FALSE
Prof Maheswarappa B S	NA	NA	NA	NA	NA	NA	NA	NA
Wouter Gerritsma	Gerritsma, Wouter 1963-2016	11	12	1	28	viaf-285392263	API	FALSE
Jordi Ardanuy	NA	NA	NA	NA	NA	NA	NA	NA
Mohammad-Hossein Biglu	Biglu, Mohammad Hossein	2	5	1	28	np-biglu,%20mohammad%20hossein	API	FALSE
Zhigang Hu（胡志刚）	NA	NA	NA	NA	NA	NA	NA	NA
Kun Lu	NA	NA	NA	NA	NA	NA	NA	NA
Maria Cassella	Cassella, Maria	4	9	2	54	lccn-no2012060029	API	FALSE
Ali Gazni	NA	NA	NA	NA	NA	NA	NA	NA
Hyunseok Park	Park, Hyunseok	1	2	1	2	viaf-127146998429418940837	API	FALSE
Livia Vasas	NA	NA	NA	NA	NA	NA	NA	NA
Satish Munnolli	NA	NA	NA	NA	NA	NA	NA	NA
Fabio Castro Gouveia	NA	NA	NA	NA	NA	NA	NA	NA
Anna Berhidi	NA	NA	NA	NA	NA	NA	NA	NA
Nele Dexters	Dexters, Nele	1	1	1	1	np-dexters,%20nele	API	FALSE
Władysław Marek Kolasa	Kolasa, Władysław Marek	89	102	3	182	lccn-nr2006009558	API	TRUE
Władysław Marek Kolasa	Kolasa, Władysław Mark 	1	1	1	1	np-kolasa,%20wladyslaw%20mark	Web	TRUE
Ehsan Mohammadi	Mohammadi, Ehsan	4	6	2	7	np-mohammadi,%20ehsan	Web	FALSE
Андрей Печников	NA	NA	NA	NA	NA	NA	NA	NA
Денис Соловяненко	NA	NA	NA	NA	NA	NA	NA	NA
Shenmeng Xu	Xu, Shenmeng	2	2	1	2	viaf-309649570	API	FALSE
Carole Probst	Probst, Carole	3	3	2	17	np-probst,%20carole	API	FALSE
Subir K. Sen	Sen, Subir K.	2	4	1	5	np-sen,%20subir%20k	API	FALSE
Dalibor Fiala	Fiala, Dalibor	5	5	3	7	np-fiala,%20dalibor	API	TRUE
Dalibor Fiala	Fiala, Dalibor (1980 - ...).	1	3	2	3	viaf-190808874	Web	TRUE
Jose Antonio Torres-Reyes	Torres Reyes, José Antonio	2	4	1	5	lccn-no2010174768	API	FALSE
Isabel Iribarren-Maestro	NA	NA	NA	NA	NA	NA	NA	NA
Amit Kumar Bandyopadhyay	Bandyopadhyay, Amit Kumar	1	1	1	11	lccn-n2006170706	API	TRUE
Amit Kumar Bandyopadhyay	Bandyopadhyay, Amit Kumar 1956-	1	1	1	3	viaf-295763645	Web	TRUE
Wen-Yau Cathy Lin 林雯瑤	NA	NA	NA	NA	NA	NA	NA	NA
Cristian Colliander	Colliander, Cristian 1980-	2	3	1	3	viaf-311495332	API	FALSE
Catharina Rehn	Rehn, Catharina	2	2	1	2	np-rehn,%20catharina	API	FALSE
R. Balasubramani	NA	NA	NA	NA	NA	NA	NA	NA
Borja González-Albo Manglano	Gonzalez Albo Manglano, Borja	2	2	2	2	np-gonzalez%20albo%20manglano,%20borja	Web	FALSE
Amalia Mas Bleda	NA	NA	NA	NA	NA	NA	NA	NA
Kamal Lochan Jena	Jena, Kamal Lochan	2	3	1	7	np-jena,%20kamal%20lochan	API	FALSE
Hajar Sotudeh	Sotudeh, Hajar	1	1	1	1	lccn-no2012103691	API	FALSE
Ramalingam Jeyshankar	NA	NA	NA	NA	NA	NA	NA	NA
Eustache Mêgnigbêto	Megnigbeto, Eustache	3	5	2	10	lccn-no2002007714	API	FALSE
Ifeanyi J. Ezema	Ezema, Ifeanyi J.	2	2	1	7	lccn-n2016021411	API	TRUE
Ifeanyi J. Ezema	Ezema, Ifeanyi Jonas	1	1	1	1	np-ezema,%20ifeanyi%20jonas	Web	TRUE
Kiran Savanur	NA	NA	NA	NA	NA	NA	NA	NA
Orlando Gregorio-Chaviano	Gregorio Chaviano, Orlando	1	1	1	1	np-gregorio%20chaviano,%20orlando	API	FALSE
Sudhier K G Pillai	NA	NA	NA	NA	NA	NA	NA	NA
Qi Yu	NA	NA	NA	NA	NA	NA	NA	NA
M. Surulinathi	NA	NA	NA	NA	NA	NA	NA	NA
Daniel Wadskog	Wadskog, Daniel	3	5	2	6	viaf-103198722	API	FALSE
Penghui LYU	NA	NA	NA	NA	NA	NA	NA	NA
Stacy Konkiel	Konkiel, Stacy	2	3	1	5	np-konkiel,%20stacy	API	TRUE
Stacy Konkiel	Stacy Konkiel	1	1	1	1	np-stacy%20konkiel	Web	TRUE
Stacy Konkiel	Konkiel, Stacey	1	1	1	1	np-konkiel,%20stacey	Web	TRUE
Yaniris Rodríguez-Sánchez	Rodríguez Sánchez, Yaniris	4	12	1	123	np-rodriguez%20sanchez,%20yaniris	API	FALSE
vaishali khaparde	Khaparde, Vaishali	1	1	1	2	np-khaparde,%20vaishali	API	TRUE
vaishali khaparde	Khaparde, Vaishali S.	1	1	1	2	np-khaparde,%20vaishali%20s	Web	TRUE
Rita Pinheiro-Machado	NA	NA	NA	NA	NA	NA	NA	NA
Nadine Rons	NA	NA	NA	NA	NA	NA	NA	NA
Samir Kumar Jalal	Jalal, Samir Kumar	1	1	1	1	np-jalal,%20samir%20kumar	API	FALSE
Bidyarthi Dutta	Dutta, Bidyarthi	2	4	1	35	lccn-n2017041588	API	FALSE
Rosane Taruhn	Taruhn, Rosane	2	2	1	2	np-taruhn,%20rosane	API	FALSE
Rahman Marefat	NA	NA	NA	NA	NA	NA	NA	NA
Aneta Drabek	Drabek, Aneta	18	19	1	20	viaf-163746749	API	FALSE
Eric Ackermann	NA	NA	NA	NA	NA	NA	NA	NA
Valeria Molteni	Molteni, Valeria	2	2	1	2	np-molteni,%20valeria	API	FALSE
Hafez Mohammadhassanzadeh	NA	NA	NA	NA	NA	NA	NA	NA
Alfonso Ibáñez	NA	NA	NA	NA	NA	NA	NA	NA
Emma Georgina Santillán Rivero	Santillan-Rivero, Emma Georgina	1	1	1	1	np-santillan%20rivero,%20emma%20georgina	Web	FALSE
Rachel Borchardt	Borchardt, Rachel	2	16	1	577	lccn-n2015013281	API	FALSE
Gali Halevi	Halevi, Gali	1	1	1	6	np-halevi,%20gali	API	FALSE
Frederik Verleysen	Verleysen, Frederik 1978-	3	3	2	3	viaf-290243880	API	TRUE
Frederik Verleysen	Verleysen, Frederik T.	1	1	1	1	np-verleysen,%20frederik%20t	Web	TRUE
Juan Manuel Ayllón Millán	NA	NA	NA	NA	NA	NA	NA	NA
Yusnelkis Milanes-Guisado	NA	NA	NA	NA	NA	NA	NA	NA
Alberto Martín-Martín	Martín-Martín, Alberto	3	6	2	39	np-martin%20martin,%20alberto	API	FALSE
Rahim Alijani	NA	NA	NA	NA	NA	NA	NA	NA
Mariano A. Maura	Maura, Mariano A.	4	8	2	49	np-maura,%20mariano%20a	API	TRUE
Mariano A. Maura	Maura, Mariano A. (Mariano Antonio)	1	1	1	4	np-maura,%20mariano%20a$mariano%20antonio	Web	TRUE
Mariano A. Maura	Maura, Mariano Antonio	1	1	1	1	np-maura,%20mariano%20antonio	Web	TRUE
R. Karpagam	NA	NA	NA	NA	NA	NA	NA	NA
N. Amsaveni	NA	NA	NA	NA	NA	NA	NA	NA
Mahmood Khosrowjerdei	NA	NA	NA	NA	NA	NA	NA	NA
Sibele Fausto	Fausto, Sibele	1	1	1	1	np-fausto,%20sibele	API	FALSE
Farshid Danesh	NA	NA	NA	NA	NA	NA	NA	NA
Clifford Tatum	NA	NA	NA	NA	NA	NA	NA	NA
Andrea Twiss-Brooks	Twiss-Brooks, Andrea	1	8	1	190	lccn-n2010077384	API	FALSE
SA Sanni	Sanni, S. A.	5	5	1	5	np-sanni,%20shamsudeen%20ademola	Web	FALSE
Tamy Chambers	NA	NA	NA	NA	NA	NA	NA	NA
Saeed Ul Hassan	NA	NA	NA	NA	NA	NA	NA	NA
Marijan Šember	NA	NA	NA	NA	NA	NA	NA	NA
maryam shekofteh	Shekofteh, Maryam	2	2	1	2	np-shekofteh,%20maryam	API	FALSE
Muzammil Tahira	Tahira, Muzammil	1	2	2	5	np-tahira,%20muzammil	API	FALSE
Antonio Eleazar Serrano López	NA	NA	NA	NA	NA	NA	NA	NA
Jose Morillo-Velarde Serrano	Morillo Velarde Serrano, José	4	4	1	7	np-morillo%20velarde%20serrano,%20jose	Web	FALSE
Tetiana Symonenko	NA	NA	NA	NA	NA	NA	NA	NA
Amir Reza Asnafi	NA	NA	NA	NA	NA	NA	NA	NA
Mohammad K. saberi	NA	NA	NA	NA	NA	NA	NA	NA
G. Rathinasabapathy	Rathinasabapathy, G.	2	2	1	9	lccn-n2018244766	API	TRUE
G. Rathinasabapathy	Rathinasabapathy, G. ed	1	1	1	1	np-rathinasabapathy,%20g%20ed	Web	TRUE
Rosa Scoble	Scoble, Rosa	1	3	1	3	np-scoble,%20rosa	API	FALSE
Faramarz Soheili	Soheili, Faramarz	2	2	1	2	np-soheili,%20faramarz	API	FALSE
Diego Marcos Cartagena	Marcos Cartagena, Diego	1	1	1	1	np-marcos%20cartagena,%20diego	Web	FALSE
Jongwook Lee	NA	NA	NA	NA	NA	NA	NA	NA
Chris Belter	Belter, Chris	9	10	1	446	lccn-no2011141773	API	TRUE
Chris Belter	Belter, Chris W.	1	1	1	1	np-belter,%20chris%20w	Web	TRUE
B. Elango	Elango, Bakthavachalam	1	1	1	1	np-elango,%20bakthavachalam	Web	FALSE
Ashraf Sharif	NA	NA	NA	NA	NA	NA	NA	NA
Sada Bihari Sahu	Sahu, Sada Bihari	4	5	1	6	viaf-316473595	API	FALSE
M Manjunath	NA	NA	NA	NA	NA	NA	NA	NA
Nobuko Miyairi	NA	NA	NA	NA	NA	NA	NA	NA
Mohammad Reza ghane	NA	NA	NA	NA	NA	NA	NA	NA
Mirza Muhammad Naseer	Naseer, Mirza Muhammad	1	1	1	2	np-naseer,%20mirza%20muhammad	API	FALSE
Rabindra K. Maharana	NA	NA	NA	NA	NA	NA	NA	NA
Chatree Wongkaew	NA	NA	NA	NA	NA	NA	NA	NA
Elena Kabakova (Елена Кабакова)	NA	NA	NA	NA	NA	NA	NA	NA
Haydar Yalcin	Yalçın, Haydar	5	7	1	14	np-yalcin,%20haydar	API	FALSE
Jens Peter Andersen	Andersen, Jens Peter	1	3	1	4	viaf-307286810	Web	FALSE
Christopher Erdmann	NA	NA	NA	NA	NA	NA	NA	NA
Jan Maluleka	Maluleka, Jan Resenga	2	2	1	9	viaf-7155284728187061286	Web	TRUE
Jan Maluleka	Maluleka, Jan	2	2	1	2	viaf-72147724863564591492	API	TRUE
Raja S	NA	NA	NA	NA	NA	NA	NA	NA
Philippe Mongeon	Mongeon, Philippe	4	4	1	4	np-mongeon,%20philippe	API	FALSE
Alvaro Roldán López	Roldan Lopez, Alvaro	1	1	1	1	np-roldan%20lopez,%20alvaro	Web	FALSE
Alexis Moreno-Pulido	NA	NA	NA	NA	NA	NA	NA	NA
Leslie Adriaanse	Adriaanse, Leslie Sharon	1	1	1	1	np-adriaanse,%20leslie%20sharon	API	FALSE
Gabriel Peterson	Peterson, Gabriel Miner 1973-	2	2	1	4	lccn-no2010109456	Web	FALSE
Chandran Velmurugan	Velmurugan, Chandran	1	1	1	2	np-velmurugan,%20chandran	API	FALSE
Kamal Badar	Badar, Kamal	1	1	1	1	np-badar,%20kamal	API	FALSE
Jill Lagerstrom	Lagerstrom, Jill	1	2	1	40	np-lagerstrom,%20jill	API	FALSE
Ephrance Abu Ujum	Ephrance Abu Ujum	1	1	1	1	np-ephrance%20abu%20ujum	API	FALSE
Held Barbosa de Souza	NA	NA	NA	NA	NA	NA	NA	NA
María Ayala-Gascón	NA	NA	NA	NA	NA	NA	NA	NA
Sergio Carbonell de la Fé	Carbonell De La Fé, Sergio	4	8	1	87	np-carbonell%20de%20la%20fe,%20sergio	Web	FALSE
Jenny Delasalle	NA	NA	NA	NA	NA	NA	NA	NA
Filistéa Naudé	Naudé, Felistéa	2	5	1	147	lccn-no2011001322	Web	TRUE
Filistéa Naudé	Naude, Filistea	1	2	1	3	np-naude,%20filistea	API	TRUE
Maryam Keshvari	NA	NA	NA	NA	NA	NA	NA	NA
AK Sahu	NA	NA	NA	NA	NA	NA	NA	NA
Maria-Josefa Peralta-Gonzalez	NA	NA	NA	NA	NA	NA	NA	NA
Soyoung Yu	NA	NA	NA	NA	NA	NA	NA	NA
Antonio J. Gómez-Núñez	NA	NA	NA	NA	NA	NA	NA	NA
Koteppa Banateppanvar	NA	NA	NA	NA	NA	NA	NA	NA
Franjo Pehar	Pehar, Franjo	3	6	2	31	lccn-n2017005885	API	FALSE
Adrián A. Díaz-Faes	Arias Díaz-Faes, Adrián	1	1	1	1	np-arias%20diaz%20faes,%20adrian	Web	TRUE
Adrián A. Díaz-Faes	A. Díaz-Faes, Adrian	1	1	1	1	np-a%20diaz%20faes,%20adrian	Web	TRUE
Morteza Hemmat	NA	NA	NA	NA	NA	NA	NA	NA
Prabir Kumar Das	NA	NA	NA	NA	NA	NA	NA	NA
Josmel Pacheco Mendoza	NA	NA	NA	NA	NA	NA	NA	NA
Iara Vidal Pereira de Souza	NA	NA	NA	NA	NA	NA	NA	NA
S Aswathy	NA	NA	NA	NA	NA	NA	NA	NA
Susana Sánchez -Gil	NA	NA	NA	NA	NA	NA	NA	NA
Yoscelina Iraida Hernández García	NA	NA	NA	NA	NA	NA	NA	NA
Jonathan Bull	NA	NA	NA	NA	NA	NA	NA	NA
Gireesh A. Ganjihal	NA	NA	NA	NA	NA	NA	NA	NA
Liliia A. Luparenko	NA	NA	NA	NA	NA	NA	NA	NA
Joel Alhuay Quispe	NA	NA	NA	NA	NA	NA	NA	NA
Peter Sjögårde	Sjögårde, Peter	1	1	1	1	np-sjogarde,%20peter	API	FALSE
K.P.S. Sengar	NA	NA	NA	NA	NA	NA	NA	NA
P Ashok Kumar	NA	NA	NA	NA	NA	NA	NA	NA
N.Tamilselvan	NA	NA	NA	NA	NA	NA	NA	NA
P. Ramkumar	NA	NA	NA	NA	NA	NA	NA	NA
Ali Mardaninezhad	NA	NA	NA	NA	NA	NA	NA	NA
John Jeyasekar Jesubright	Jeyasekar, J. John 1965-	3	8	1	51	lccn-n2017033557	API	FALSE
Rasoul Zavaraqi	NA	NA	NA	NA	NA	NA	NA	NA
Sheikh Mohammed Shahabuddin	NA	NA	NA	NA	NA	NA	NA	NA
Saravanan G.	NA	NA	NA	NA	NA	NA	NA	NA
Jayendra Kumar Singh	NA	NA	NA	NA	NA	NA	NA	NA
Fatima Baji	NA	NA	NA	NA	NA	NA	NA	NA
Ismael Mostafavi	NA	NA	NA	NA	NA	NA	NA	NA
Adèle Paul-Hus	Paul-Hus, Adèle	5	7	1	11	np-paul%20hus,%20adele	API	FALSE
Irina Trofimchuk (Ирина Трофимчук)	NA	NA	NA	NA	NA	NA	NA	NA
Subhodip Bid	NA	NA	NA	NA	NA	NA	NA	NA
Shivaranjini Mogali	NA	NA	NA	NA	NA	NA	NA	NA
Aref Riahi	NA	NA	NA	NA	NA	NA	NA	NA
Rahila Sh. Hasanova	NA	NA	NA	NA	NA	NA	NA	NA
Hui Xuan Tan	NA	NA	NA	NA	NA	NA	NA	NA
P. Clara Jeyaseeli	NA	NA	NA	NA	NA	NA	NA	NA
P. Baskaran	NA	NA	NA	NA	NA	NA	NA	NA
David Sánchez-Cruxeiras	NA	NA	NA	NA	NA	NA	NA	NA
Abdalsamad Keramatfar	NA	NA	NA	NA	NA	NA	NA	NA
Patricia Lorenzo Bartolomé	NA	NA	NA	NA	NA	NA	NA	NA
Angamuthu.m	NA	NA	NA	NA	NA	NA	NA	NA
AK Anjana	NA	NA	NA	NA	NA	NA	NA	NA
Magdalena Bemke-Świtilnik	Bemke-Świtilnik, Magdalena	3	3	1	3	viaf-280144782722013431396	API	FALSE
Ashraf Maleki	NA	NA	NA	NA	NA	NA	NA	NA
Rouhallah Khademi	NA	NA	NA	NA	NA	NA	NA	NA
Saeed Roshani	NA	NA	NA	NA	NA	NA	NA	NA
Alberto Ramos-Alonso	NA	NA	NA	NA	NA	NA	NA	NA
Vaishali Khaparde	Khaparde, Vaishali	1	1	1	2	np-khaparde,%20vaishali	API	TRUE
Vaishali Khaparde	Khaparde, Vaishali S.	1	1	1	2	np-khaparde,%20vaishali%20s	Web	TRUE
Jeyashree S	NA	NA	NA	NA	NA	NA	NA	NA