author	identity	languages	total_holdings	work_count	record_count	author_id
Loet Leydesdorff	Leydesdorff, L. A.	5	1232	64	190	lccn-n80112847
Loet Leydesdorff	Lydsdorff, Loet	1	2	1	2	np-lydsdorff,%20loet
Eugene Garfield*	Garfield, Eugene	5	3399	147	447	lccn-n79061047
Eugene Garfield*	Garfield, Eugen	1	0	1	1	np-garfield,%20eugen
Mike Thelwall	Thelwall, Mike	4	1161	49	118	lccn-no2005014137
Mike Thelwall	Thelwal, Mike	1	1	1	1	np-thelwal,%20mike
Derek J. de Solla Price	Price, Derek J. de Solla (Derek John de Solla) 1922-1983	11	6749	171	474	lccn-n50027474
Derek J. de Solla Price	Price, Derek J. de Solla	1	1	1	1	nc-price%20derek%20j%20de%20solla
Derek J. de Solla Price	Price, Derek de Solla	1	25	7	9	viaf-4673149198372574940006
Francis Narin	Narin, Francis 1934-	1	421	45	95	lccn-n82209533
Francis Narin	Narrin, Francis	1	1	1	1	np-narrin,%20francis
Wolfgang Glänzel	Glänzel, Wolfgang	4	1111	53	113	lccn-n85060118
Wolfgang Glänzel	Glñzel, Wolfgang	1	0	1	1	np-glnzel,%20wolfgang
Ronald Rousseau	Rousseau, R.	5	1387	26	122	lccn-n82249792
Chaomei Chen	Chen, Chaomei 1960-	2	5879	42	243	lccn-n99000889
Anthony (Ton) F.J. van Raan	Raan, A. F. J. van	2	407	32	69	lccn-n88022035
Anthony (Ton) F.J. van Raan	Raan, Anthony F.J.	1	1	1	1	viaf-205952365
Anthony (Ton) F.J. van Raan	Raan, Anthony F. J. van	2	30	5	5	np-raan,%20anthony%20f%20j%20van
Anthony (Ton) F.J. van Raan	Raan, van, A. F. J.	1	1	1	1	np-raan,%20van%20a%20f%20j
Ben R Martin	Martin, Ben R.	1	3014	60	192	lccn-n84159925
András Schubert	Schubert, András	4	349	21	62	lccn-n85060117
Peter Ingwersen	Ingwersen, Peter	5	247	81	119	np-ingwersen,%20peter
Peter Ingwersen	Ingwersen, Peter	5	1629	33	152	lccn-n88663916
Peter Ingwersen	Ingerwesen, Peter	1	1	1	1	np-ingerwesen,%20peter
Peter Ingwersen	Ingwersen, Peter, Ed	1	1	1	1	np-ingwersen,%20peter%20ed
Henk F. Moed	Moed, H. F.	5	2386	48	165	lccn-n90675885
Henk F. Moed	Moed, H. F.	2	12	1	4	viaf-305585079
Blaise Cronin	Cronin, Blaise	3	6783	142	584	lccn-n82000323
Blaise Cronin	Cronim, Blaise	1	1	1	1	np-cronim,%20blaise
Blaise Cronin	Croinin, Blaise	1	1	1	1	np-croinin,%20blaise
Henry Small	Small, Henry	1	301	26	47	np-small,%20henry
Henry Small	Small, Henry Gilbert 1941-	1	12	1	10	lccn-n85818438
Henry Small	Small, Henry G.	1	32	3	6	viaf-131148995933759751375
Henry Small	Small, Henry 1941-	1	17	6	6	viaf-297589520
Tibor Braun	Braun, Tibor	6	2298	157	399	lccn-n50045550
Tibor Braun	Braun, Tibor	4	347	7	47	viaf-230043514
Tibor Braun	Braun, Tibor Daniel	2	61	3	10	lccn-n99047705
Vasily V. Nalimov	Nalimov, V. V. (Vasiliĭ Vasilʹevich) 1910-1997	5	2437	80	259	lccn-n80149360
Vasily V. Nalimov	Nalimov, V. V. (Nalimov,) 1910-	1	2	1	1	np-nalimov,%20v%20v$nalimov$1910
Vasily V. Nalimov	Nalimov, V. V. (Vasilliĭ Vasilʹevich) 1910-	1	1	1	1	np-nalimov,%20v%20v$vasillii%20vasilevich$1910
Vasily V. Nalimov	Nalimov, Vasilij Vasilievič 1910-1997	1	1	1	1	np-nalimov,%20vasilij%20vasilievic$1910%201997
Lutz Bornmann	Bornmann, Lutz	2	215	14	28	lccn-no2009039239
Belver C. Griffith	Griffith, Belver C.	2	350	23	52	lccn-n79129096
Belver C. Griffith	Griffith, Belver Callis	1	3	1	2	np-griffith,%20belver%20callis
Belver C. Griffith	Griffith, B.C.	1	1	1	1	np-griffith,%20b%20c
Howard D. White	White, Howard D.	1	1821	18	63	lccn-n80027680
Johan Bollen	Bollen, Johan	2	124	7	15	lccn-n99029048
Katy Borner	Börner, Katy	2	5081	46	163	lccn-n2002154393
Katy Borner	伯爾納 (Borner, Katy)	1	2	1	1	np-bo%20er%20na$borner%20katy
Katy Borner	Bèorner, Katy	1	1	1	1	np-beorner,%20katy
Félix de Moya Anegón	Moya Anegón, Félix de	4	660	19	56	lccn-n95085624
Félix de Moya Anegón	Moya, Félix de	2	139	13	29	lccn-n95104829
Koenraad Debackere	Debackere, Koenraad	2	1637	105	175	lccn-n2005043038
Jose Maria López Piñero	López Piñero, José María	4	5547	746	1829	lccn-n80045052
Jose Maria López Piñero	López Piñero, José M.	2	12	5	7	viaf-133093547
Jose Maria López Piñero	Piñero, José María	1	3	2	3	lccn-n87882108
Michael J. Moravcsik	Moravcsik, Michael J.	4	2219	56	189	lccn-n80067515
Michael J. Moravcsik	Moravcsik, Michael J.	1	1	1	1	viaf-104602366
Michael J. Moravcsik	Moravcsik, Michael J., ed	0	1	1	1	np-moravcsik,%20michael%20j%20ed
Michael J. Moravcsik	Moravcsik, Michael	1	4	1	1	np-moravcsik,%20michael
Katherine W. McCain	McCain, Katherine Wootton	1	30	7	13	lccn-n87131886
Katherine W. McCain	MacCain, Katherine W.	1	3	2	3	viaf-218137914
Judit Bar-Ilan	Bar-Ilan, Judit	3	10	8	11	lccn-no2011134819
HD Daniel	Daniel, Hans-Dieter 1955-	2	1351	36	92	lccn-n87854232
Martin Meyer	Meyer, Martin	2	123	7	19	lccn-n99053460
Thed van Leeuwen	Leeuwen, Thed N. van	2	39	5	5	lccn-n2002134725
Thed van Leeuwen	Leeuwen, Thed van	1	1	2	2	np-leeuwen,%20thed%20van
Ying Ding	Ding, Ying 1955-	2	1430	17	86	lccn-n2008063128
Ying Ding	Ding, Ying	1	6	2	2	viaf-308721056
Diana Hicks	Hicks, Diana M.	1	1	1	1	viaf-198156571
Bart Van Looy	Looy, Bart van	3	1759	51	135	lccn-nb98008772
Bart Van Looy	Van Looy, Bart	1	46	35	36	viaf-202362579
Bart Van Looy	Looy, Van, Bart	1	1	1	1	np-looy,%20van%20bart
Bart Van Looy	Looy, B. van	2	4	3	3	np-looy,%20b%20van
J Sylvan Katz	Katz, Sylvan	2	124	9	16	lccn-n88060931
J Sylvan Katz	Katz, J. Sylvan	1	27	6	12	viaf-190888262
Kevin W. Boyack	Boyack, Kevin W.	1	27	10	10	viaf-31152023729603312461
Kevin W. Boyack	Boyack, Kevin Wiser	1	2	1	1	np-boyack,%20kevin%20wiser
Kevin W. Boyack	Boyack, K. W.	1	1	1	1	np-boyack,%20k%20w
Kevin W. Boyack	Boyack, Kevin	1	2	1	2	np-boyack,%20kevin
Ian Rowlands	Rowlands, Ian	1	1687	22	94	viaf-88094309
Ian Rowlands	Rowlands, Ian	1	389	2	8	viaf-211343602
Ian Rowlands	Rowlands, Ian Edited by	1	14	1	1	nc-rowlands%20ian$edited%20by
Robert J.W. Tijssen	Tijssen, Robert (Robert Jaap Walter) 1955-	2	161	36	56	lccn-n92097108
Mustar Philippe	Mustar, Philippe	3	1030	36	105	lccn-no96003810
Mustar Philippe	Mustar, Philippe	2	27	3	7	viaf-201931640
Olle Persson	Persson, Olle	2	132	44	70	viaf-191819221
Bertram C. Brookes	Brookes, B. C. (Bertram Claude)	5	946	44	198	lccn-n86088339
Bertram C. Brookes	Brookes, B.C. 1910-1991	2	17	3	5	viaf-243145542571196640755
John Irvine	Irvine, John 1951-	3	1976	17	107	lccn-n96116917
Ismael Rafols	Rafols, Ismael	2	8	6	7	viaf-307268930
Peter Jacso	Jacsó, Péter	3	3361	24	76	lccn-n91082694
Peter Jacso	Jasco, Peter	1	1	1	1	np-jasco,%20peter
Emilio Delgado López-Cózar	Delgado López-Cózar, Emilio	3	196	25	58	lccn-n91050689
Peter Van den Besselaar	Besselaar, Peter van den	2	2457	45	153	lccn-n90719972
Peter Van den Besselaar	Besselaar, Peter van den	1	456	5	20	viaf-200858379
Peter Van den Besselaar	Besselaar, van den, Peter	1	1	1	1	np-besselaar,%20van%20den%20peter
Peter Van den Besselaar	Besselaar, Peter van der	1	3	2	2	np-besselaar,%20peter%20van%20der
Peter Van den Besselaar	Besselaar, P. van den	2	2	2	2	np-besselaar,%20p%20van%20den
Peter Van den Besselaar	Besselaar,P. van den	1	1	1	1	np-besselaar,p%20van%20den
Vincent Larivière	Larivière, Vincent	2	394	23	51	lccn-n2017180793
Vincent Larivière	Larivière, Vincent	1	13	1	2	viaf-2694152025923203600006
Caroline S. Wagner	Wagner, Caroline S.	2	7157	32	147	lccn-no95037161
Victor Herrero-Solana	Herrero Solana, Víctor	1	89	5	9	np-herrero%20solana,%20victor
Victor Herrero-Solana	Solana, Víctor Herrero	1	1	1	1	np-solana,%20victor%20herrero
Lokman Meho	Meho, Lokman I. 1968-	3	2421	12	47	lccn-n97017150
Javier Ruiz-Castillo	Ruiz Castillo, Javier	2	1124	159	272	lccn-n85183232
Javier Ruiz-Castillo	Ruiz-Castillo, Javier	2	63	13	30	viaf-285910243
Fiorenzo Franceschini	Franceschini, Fiorenzo	3	2042	28	98	lccn-n2001014866
Rafael Aleixandre-Benavent	Aleixandre Benavent, Rafael	3	35	27	33	np-aleixandre%20benavent,%20rafael
Rafael Aleixandre-Benavent	Aleixandre Benavent, Rafael	2	7	5	5	viaf-7149542569000300086
Nees Jan van Eck	Eck, Nees Jan van	1	27	21	23	viaf-282702111
Cinzia Daraio	Daraio, Cinzia	1	701	13	48	lccn-n2007035300
Svein Kyvik	Kyvik, Svein	4	1062	64	139	lccn-n83181025
Svein Kyvik	Kyvik, Sven	1	1	1	1	np-kyvik,%20sven
Jan Youtie	Youtie, Jan L.	1	571	31	45	lccn-n95084447
Jan Youtie	Youtie, Jan	1	9	3	3	viaf-312644121
Stefan Darmoni	Darmoni, Stéfan Jacques	1	105	47	65	viaf-22279614
Stefan Darmoni	Darmoni, Stéfan	1	38	1	1	np-darmoni,%20stefan
Stefan Darmoni	Darmoni, Stéphan J.	1	21	1	1	np-darmoni,%20stephan%20j
Isidro F. Aguillo	Aguillo, Isidro F.	2	258	28	41	lccn-ns2016003848
Terttu Luukkonen	Luukkonen, Terttu	2	95	56	80	lccn-n97047200
Terttu Luukkonen	Luukkonen-Gronow, Terttu	2	19	13	15	lccn-n92800147
Terttu Luukkonen	Luukkonen, Tertuu	1	5	1	1	np-luukkonen,%20tertuu
Terttu Luukkonen	Luukonen-Gronow, Terttu	1	3	1	1	np-luukonen%20gronow,%20terttu
Michael E. D. Koenig	Koenig, Michael E. D.	2	2876	36	134	lccn-n80156697
Michael E. D. Koenig	Koenig, Michael E. D.	1	17	1	1	viaf-211040825
Michael E. D. Koenig	Koenig, M. E. D.	1	1	1	1	np-koenig,%20m%20e%20d
Evaristo Jimenez-Contreras	Jiménez Contreras, Evaristo	1	57	20	33	lccn-no98094445
Ludo Waltman	Waltman, Ludo	1	33	26	28	viaf-285821126
Paul Wouters	Wouters, Paul	3	1362	43	52	np-wouters,%20paul
Paul Wouters	Wouters, Paul	1	125	1	5	viaf-295743525
Paul Wouters	Wouters, Paul	1	12	1	1	viaf-287837006
Paul Wouters	Wouters, Paul	1	4	2	3	viaf-286368262
Paul Wouters	Wouters, Paul	1	2	1	1	viaf-291051848
Paul Wouters	Wouters, Paul	1	1	1	1	viaf-285900923
Paul Wouters	Wouters, Paul	1	1	1	1	viaf-288917177
Paul Wouters	Wouters, Paul 1951-	2	2000	14	55	lccn-n2012028410
Paul Wouters	Wouters, Paul 1950-	2	162	7	15	lccn-n92113329
Paul Wouters	Wouters, Paul 1951-	2	2	2	2	np-wouters,%20paul$1951
Paul Wouters	Wouters,Paul	1	1	1	1	np-wouters,paul
Lea Velho	Velho, Léa	3	330	25	46	lccn-n94069619
Lea Velho	Velho, Lea Maria Leme Strini	2	3	3	3	np-velho,%20lea%20maria%20leme%20strini
Lea Velho	Velho, Lea Maria	1	1	1	1	np-velho,%20lea%20maria
Lea Velho	Velho, L.	2	9	9	9	np-velho,%20l
Lea Velho	Velho, L. (LEA VELHO)	1	1	1	1	np-velho,%20l$lea%20velho
Georgios Paltoglou	Paltoglou, Georgios	1	382	3	14	lccn-nb2014026950
Georgios Paltoglou	Paltoglu, Georgios	1	0	1	1	np-paltoglu,%20georgios
Magnus Gulbrandsen	Gulbrandsen, Magnus	5	438	20	49	lccn-n98008518
Magnus Gulbrandsen	Gulbrandsen, Magnus	1	1	1	1	viaf-72146634528941932790
Ruediger Mutz	Mutz, Rüdiger	2	92	10	16	viaf-7266148997611459870006
Yves-François Le Coadic	Le Coadic, Yves-François	5	1302	30	91	lccn-n95048959
Zaida Chinchilla-Rodríguez	Chinchilla-Rodríguez, Zaida	1	165	19	38	lccn-no2008134827
Andrea Scharnhorst	Scharnhorst, Andrea	2	2218	10	59	lccn-nb2009017716
Andrea Scharnhorst	Scharnhorst, Andrea	2	16	5	8	viaf-91097436
B. S.Kademani	B. S. Kademani	1	2	2	2	np-b%20s%20kademani
Benjamín Vargas-Quesada	Vargas-Quesada, Benjamin	2	638	8	34	lccn-no2007106318
Bart Thijs	Thijs, Bart	1	10	10	10	viaf-176558613
Bart Thijs	Thijs, Bart (Bart C.M.) 1975-	1	2	1	2	viaf-281906142
Daniel Torres-Salinas	Torres-Salinas, Daniel	2	82	17	27	viaf-316754639
Daniel Torres-Salinas	Torres Salinas, Daniel	1	1	1	1	nc-torres%20salinas%20daniel
Vicente Pablo Guerrero Bote	Guerrero Bote, Vicente P.	2	14	4	9	viaf-87420484
Vicente Pablo Guerrero Bote	Guerrero Bote, Vicente Pablo	1	7	7	7	np-guerrero%20bote,%20vicente%20pablo
Vicente Pablo Guerrero Bote	Guerrero-Bote, Vicente	1	55	2	2	np-guerrero%20bote,%20vicente
Lennart Björneborn	Björneborn, Lennart	2	14	6	11	viaf-307221567
Eric Archambault	Archambault, Éric	2	180	26	37	np-archambault,%20eric
Eric Archambault	Archambault, Éric 1964-	2	6	2	4	np-archambault,%20eric$1964
Eric Archambault	Archambault, Eric J. A.	1	2	1	2	np-archambault,%20eric%20j%20a
Alan Pritchard	Pritchard, Alan 1941-	1	1598	38	143	lccn-n50022603
Alan Pritchard	Pritchard, Alan	1	917	40	56	np-pritchard,%20alan
Giovanni Abramo	Abramo, Giovanni	2	23	18	21	viaf-90176484
Massimo Franceschet	Franceschet, Massimo	1	35	9	11	viaf-4359149198333574940005
Massimo Franceschet	Franceshet, Massimo	1	1	1	1	np-franceshet,%20massimo
Antonio Gutierrez Gracia	García Gutiérrez, Antonio	2	1332	41	98	lccn-n84158906
Antonio Gutierrez Gracia	Gutiérrez Gracia, Antonio	2	3	2	3	np-gutierrez%20gracia,%20antonio
Antonio Gutierrez Gracia	Gutiérrez García, Antonio	1	1	1	1	np-gutierrez%20garcia,%20antonio
Antonio Gutierrez Gracia	García Gutiérrez, Antonio Luis	1	12	3	6	viaf-311365791
Ciriaco Andrea D'Angelo	D'Angelo, Ciriaco Andrea	1	16	16	16	np-dangelo,%20ciriaco%20andrea
Ciriaco Andrea D'Angelo	Ciriaco Andrea D'Angelo	1	3	3	3	np-ciriaco%20andrea%20dangelo
Ciriaco Andrea D'Angelo	D'Angelo, C. Andrea	1	1	1	1	np-dangelo,%20c%20andrea
Ciriaco Andrea D'Angelo	D'Angelo, Andrea Ciriaco	1	1	1	1	np-dangelo,%20andrea%20ciriaco
Ciriaco Andrea D'Angelo	d'angelo, ciriaco	1	2	2	2	np-dangelo,%20ciriaco
Mario Coccia	Coccia, Mario	2	98	64	105	viaf-88137886
Mario Coccia	Mario Coccia	1	1	1	1	np-mario%20coccia
Samuel C Bradford	Bradford, S. C. 1878-1948	6	713	48	139	lccn-nr92032574
Samuel C Bradford	Bradford, S.C. (Samuel Clement) 1938, 1948 fl	1	10	1	2	viaf-5578155648130618330004
Cassidy R. Sugimoto	Sugimoto, Cassidy R.	2	2300	10	87	lccn-no2011051642
Cassidy R. Sugimoto	Sugimoto , C. R.	1	1	1	1	np-sugimoto,%20c%20r
Matthias Weber	Weber, Matthias	2	477	20	61	lccn-n99022610
Matthias Weber	Weber, Matthias	1	3	3	3	viaf-202148996015559752547
José Luis Ortega	Ortega, José Luis	3	1083	33	59	lccn-no2015011726
José Luis Ortega	Ortega, José Luis	1	28	1	5	viaf-956155284875187062353
Suzana Mueller	Mueller, Suzana Pinheiro Machado	3	49	21	34	lccn-no2006017964
Suzana Mueller	Mueller, Suzana Machado Pinheiro	1	2	2	2	np-mueller,%20suzana%20machado%20pinheiro
Suzana Mueller	Mueller, Suzana	1	1	1	1	np-mueller,%20suzana
Rodrigo Costas	Costas, Rodrigo	4	23	12	14	viaf-4882155708720222580009
Rodrigo Costas	Costas, Rodrigo	1	1	1	1	np-costas,%20rodrigo
Rodrigo Costas	Costas, R. (Rodrigo) 1977-	3	13	3	6	viaf-289034893
Heting Chu	Chu, Heting 1957-	2	525	14	56	lccn-no93022700
Rigas Arvanitis	Arvanitis, Rigas	5	608	42	96	lccn-n85366088
Birger Larsen	Larsen, Birger	1	716	4	18	lccn-no2009151196
Rafael Ruiz-Perez	Ruiz Pérez, Rafael	2	157	35	69	lccn-n85309836
Kayvan Kousha	Kousha, Kayvan	1	3	3	3	np-kousha,%20kayvan
Elias Sanz-Casado	Sanz Casado, Elías	3	66	22	29	np-sanz%20casado,%20elias
Elias Sanz-Casado	Sanz Casado, Elías	1	50	1	8	viaf-22252756
Elias Sanz-Casado	Sanz Casado,Elías	1	1	1	1	np-sanz%20casado,elias
Elias Sanz-Casado	Sanz Casado, Elias - Autor/a	1	1	1	1	np-sanz%20casado,%20elias%20autor%20a
Elias Sanz-Casado	Sanza Casado, Elías	1	1	1	1	np-sanza%20casado,%20elias
Elena Corera-Álvarez	Corera Álvarez, Elena	1	100	12	18	viaf-87442451
Elena Corera-Álvarez	Corera âAlvarez, Elena	1	1	1	1	np-corera%20aalvarez,%20elena
G Steven McMillan	McMillan, G. Steven	1	4	3	4	viaf-195234263
Werner Marx	Marx, Werner	1	8	3	4	viaf-25515028
Guido Van Hooydonk	Hooydonk, G. van	4	64	10	29	lccn-n96110202
Jevin D. West	West, Jevin D. (Jevin Darwin) 1977-	1	7	4	5	lccn-no2011071415
Jevin D. West	West, Jevin	0	1	1	1	np-west,%20jevin
Ping Zhou	Zhou, P. (Ping) 1962-	1	2	1	2	viaf-279948397
Ulf Sandström	Sandström, Ulf	2	221	13	24	lccn-n97081292
Ulf Sandström	Sandström, Ulf 1953-	2	64	32	48	lccn-n00102563
Ulf Sandström	Sandström, Ulf	2	40	32	36	np-sandstrom,%20ulf
Ulf Sandström	Sandström, Ulf 1953-	2	3	3	3	np-sandstrom,%20ulf$1953
Ulf Sandström	Sundström, Ulf	2	3	2	2	np-sundstrom,%20ulf
Ulf Sandström	Sandström, Ulf	1	1	1	1	viaf-188687875
Ricardo Arencibia Jorge	Arencibia Jorge, Ricardo	1	140	17	26	np-arencibia%20jorge,%20ricardo
Ricardo Arencibia Jorge	Arencibia, Ricardo Jorge	1	1	1	1	np-arencibia,%20ricardo%20jorge
Ricardo Arencibia Jorge	Arencibia, Jorge Ricardo	1	1	1	1	np-arencibia,%20jorge%20ricardo
Maite barrios	Barrios Cerrejón, M. Teresa	3	82	9	17	viaf-87749586
RR Braam	Braam, Robert (Robert René) 1958-	2	144	11	28	lccn-n91097137
RR Braam	Braam, Robert (Robert René) 1958-	1	2	1	1	np-braam,%20robert$robert%20rene$1958
Emanuela Reale	Reale, Emanuela	2	171	34	67	lccn-n96010881
Emanuela Reale	Reale, Emmanuela	1	1	1	1	np-reale,%20emmanuela
Sybille Hinze	Hinze, Sybille	2	97	15	29	lccn-n2008040091
Sybille Hinze	Hinze, Sybille	3	50	23	26	np-hinze,%20sybille
Sybille Hinze	Hinze, Sybille	1	2	1	2	viaf-7876149198233874940008
Sybille Hinze	Hinze, Sibylle	3	203	12	38	lccn-n88128223
